Report date,Previous report date,Period label,Zone key,Case classification,Net case change,Is negative revision,Is opening balance,Interval days
2018-08-05,,unknown - 5 August 2018,South Kivu | Mwenga,Confirmed,0,0,1,
2018-11-04,2018-10-28,28 Oct 2018 - 4 Nov 2018,North Kivu | Katwa,Probable,0,0,0,7
2018-11-11,2018-11-04,4 Nov 2018 - 11 Nov 2018,North Kivu | Katwa,Probable,0,0,0,7
2018-11-19,2018-11-11,11 Nov 2018 - 19 Nov 2018,North Kivu | Katwa,Probable,3,0,0,8
2018-11-26,2018-11-19,19 Nov 2018 - 26 Nov 2018,North Kivu | Katwa,Probable,0,0,0,7
2018-12-03,2018-11-26,26 Nov 2018 - 3 Dec 2018,North Kivu | Katwa,Probable,1,0,0,7
2018-12-10,2018-12-03,3 Dec 2018 - 10 Dec 2018,North Kivu | Katwa,Probable,0,0,0,7
2018-12-16,2018-12-10,10 Dec 2018 - 16 Dec 2018,North Kivu | Katwa,Probable,0,0,0,6
2018-12-25,2018-12-16,16 Dec 2018 - 25 Dec 2018,North Kivu | Katwa,Probable,0,0,0,9
2019-01-01,2018-12-25,25 Dec 2018 - 1 Jan 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-01-06,2019-01-01,1 Jan 2019 - 6 Jan 2019,North Kivu | Katwa,Probable,0,0,0,5
2019-01-14,2019-01-06,6 Jan 2019 - 14 Jan 2019,North Kivu | Katwa,Probable,0,0,0,8
2019-01-21,2019-01-14,14 Jan 2019 - 21 Jan 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-01-28,2019-01-21,21 Jan 2019 - 28 Jan 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-02-03,2019-01-28,28 Jan 2019 - 3 Feb 2019,North Kivu | Katwa,Probable,0,0,0,6
2019-02-10,2019-02-03,3 Feb 2019 - 10 Feb 2019,North Kivu | Katwa,Probable,7,0,0,7
2019-02-17,2019-02-10,10 Feb 2019 - 17 Feb 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-02-24,2019-02-17,17 Feb 2019 - 24 Feb 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-03-03,2019-02-24,24 Feb 2019 - 3 Mar 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-03-10,2019-03-03,3 Mar 2019 - 10 Mar 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-03-17,2019-03-10,10 Mar 2019 - 17 Mar 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-03-24,2019-03-17,17 Mar 2019 - 24 Mar 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-03-31,2019-03-24,24 Mar 2019 - 31 Mar 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-04-07,2019-03-31,31 Mar 2019 - 7 Apr 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-04-14,2019-04-07,7 Apr 2019 - 14 Apr 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-04-22,2019-04-14,14 Apr 2019 - 22 Apr 2019,North Kivu | Katwa,Probable,0,0,0,8
2019-04-28,2019-04-22,22 Apr 2019 - 28 Apr 2019,North Kivu | Katwa,Probable,0,0,0,6
2019-05-05,2019-04-28,28 Apr 2019 - 5 May 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-05-12,2019-05-05,5 May 2019 - 12 May 2019,North Kivu | Katwa,Probable,3,0,0,7
2019-05-19,2019-05-12,12 May 2019 - 19 May 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-05-26,2019-05-19,19 May 2019 - 26 May 2019,North Kivu | Katwa,Probable,2,0,0,7
2019-06-02,2019-05-26,26 May 2019 - 2 Jun 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-06-12,2019-06-02,2 Jun 2019 - 12 Jun 2019,North Kivu | Katwa,Probable,0,0,0,10
2019-06-16,2019-06-12,12 Jun 2019 - 16 Jun 2019,North Kivu | Katwa,Probable,0,0,0,4
2019-06-23,2019-06-16,16 Jun 2019 - 23 Jun 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-06-30,2019-06-23,23 Jun 2019 - 30 Jun 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-07-07,2019-06-30,30 Jun 2019 - 7 Jul 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-07-14,2019-07-07,7 Jul 2019 - 14 Jul 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-07-21,2019-07-14,14 Jul 2019 - 21 Jul 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-07-28,2019-07-21,21 Jul 2019 - 28 Jul 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-08-04,2019-07-28,28 Jul 2019 - 4 Aug 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-08-11,2019-08-04,4 Aug 2019 - 11 Aug 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-08-18,2019-08-11,11 Aug 2019 - 18 Aug 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-08-25,2019-08-18,18 Aug 2019 - 25 Aug 2019,North Kivu | Katwa,Probable,7,0,0,7
2019-09-01,2019-08-25,25 Aug 2019 - 1 Sep 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-09-08,2019-09-01,1 Sep 2019 - 8 Sep 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-09-15,2019-09-08,8 Sep 2019 - 15 Sep 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-09-22,2019-09-15,15 Sep 2019 - 22 Sep 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-09-29,2019-09-22,22 Sep 2019 - 29 Sep 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-10-06,2019-09-29,29 Sep 2019 - 6 Oct 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-10-13,2019-10-06,6 Oct 2019 - 13 Oct 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-10-20,2019-10-13,13 Oct 2019 - 20 Oct 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-10-27,2019-10-20,20 Oct 2019 - 27 Oct 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-11-03,2019-10-27,27 Oct 2019 - 3 Nov 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-11-10,2019-11-03,3 Nov 2019 - 10 Nov 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-11-17,2019-11-10,10 Nov 2019 - 17 Nov 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-11-24,2019-11-17,17 Nov 2019 - 24 Nov 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-12-01,2019-11-24,24 Nov 2019 - 1 Dec 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-12-08,2019-12-01,1 Dec 2019 - 8 Dec 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-12-15,2019-12-08,8 Dec 2019 - 15 Dec 2019,North Kivu | Katwa,Probable,0,0,0,7
2019-12-22,2019-12-15,15 Dec 2019 - 22 Dec 2019,North Kivu | Katwa,Probable,0,0,0,7
2020-01-05,2019-12-22,22 Dec 2019 - 5 Jan 2020,North Kivu | Katwa,Probable,0,0,0,14
2020-01-12,2020-01-05,5 Jan 2020 - 12 Jan 2020,North Kivu | Katwa,Probable,0,0,0,7
2020-01-19,2020-01-12,12 Jan 2020 - 19 Jan 2020,North Kivu | Katwa,Probable,0,0,0,7
2020-01-26,2020-01-19,19 Jan 2020 - 26 Jan 2020,North Kivu | Katwa,Probable,0,0,0,7
2018-08-05,,unknown - 5 August 2018,North Kivu | Kayna,Confirmed,0,0,1,
2018-08-12,2018-08-05,5 Aug 2018 - 12 Aug 2018,North Kivu | Kayna,Confirmed,0,0,0,7
2018-08-20,2018-08-12,12 Aug 2018 - 20 Aug 2018,North Kivu | Kayna,Confirmed,0,0,0,8
2018-08-26,2018-08-20,20 Aug 2018 - 26 Aug 2018,North Kivu | Kayna,Confirmed,0,0,0,6
2018-09-02,2018-08-26,26 Aug 2018 - 2 Sep 2018,North Kivu | Kayna,Confirmed,0,0,0,7
2018-09-09,2018-09-02,2 Sep 2018 - 9 Sep 2018,North Kivu | Kayna,Confirmed,0,0,0,7
2018-09-16,2018-09-09,9 Sep 2018 - 16 Sep 2018,North Kivu | Kayna,Confirmed,0,0,0,7
2018-09-23,2018-09-16,16 Sep 2018 - 23 Sep 2018,North Kivu | Kayna,Confirmed,0,0,0,7
2018-10-02,2018-09-23,23 Sep 2018 - 2 Oct 2018,North Kivu | Kayna,Confirmed,0,0,0,9
2018-10-07,2018-10-02,2 Oct 2018 - 7 Oct 2018,North Kivu | Kayna,Confirmed,0,0,0,5
2018-10-15,2018-10-07,7 Oct 2018 - 15 Oct 2018,North Kivu | Kayna,Confirmed,0,0,0,8
2018-10-21,2018-10-15,15 Oct 2018 - 21 Oct 2018,North Kivu | Kayna,Confirmed,0,0,0,6
2018-10-28,2018-10-21,21 Oct 2018 - 28 Oct 2018,North Kivu | Kayna,Confirmed,0,0,0,7
2018-11-04,2018-10-28,28 Oct 2018 - 4 Nov 2018,North Kivu | Kayna,Confirmed,0,0,0,7
2018-11-11,2018-11-04,4 Nov 2018 - 11 Nov 2018,North Kivu | Kayna,Confirmed,0,0,0,7
2018-11-19,2018-11-11,11 Nov 2018 - 19 Nov 2018,North Kivu | Kayna,Confirmed,0,0,0,8
2018-11-26,2018-11-19,19 Nov 2018 - 26 Nov 2018,North Kivu | Kayna,Confirmed,0,0,0,7
2018-12-03,2018-11-26,26 Nov 2018 - 3 Dec 2018,North Kivu | Kayna,Confirmed,0,0,0,7
2018-12-10,2018-12-03,3 Dec 2018 - 10 Dec 2018,North Kivu | Kayna,Confirmed,0,0,0,7
2018-12-16,2018-12-10,10 Dec 2018 - 16 Dec 2018,North Kivu | Kayna,Confirmed,0,0,0,6
2018-12-25,2018-12-16,16 Dec 2018 - 25 Dec 2018,North Kivu | Kayna,Confirmed,0,0,0,9
2019-01-01,2018-12-25,25 Dec 2018 - 1 Jan 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-01-06,2019-01-01,1 Jan 2019 - 6 Jan 2019,North Kivu | Kayna,Confirmed,0,0,0,5
2019-01-14,2019-01-06,6 Jan 2019 - 14 Jan 2019,North Kivu | Kayna,Confirmed,0,0,0,8
2019-01-21,2019-01-14,14 Jan 2019 - 21 Jan 2019,North Kivu | Kayna,Confirmed,4,0,0,7
2019-01-28,2019-01-21,21 Jan 2019 - 28 Jan 2019,North Kivu | Kayna,Confirmed,1,0,0,7
2019-02-03,2019-01-28,28 Jan 2019 - 3 Feb 2019,North Kivu | Kayna,Confirmed,0,0,0,6
2019-02-10,2019-02-03,3 Feb 2019 - 10 Feb 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-02-17,2019-02-10,10 Feb 2019 - 17 Feb 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-02-24,2019-02-17,17 Feb 2019 - 24 Feb 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-03-03,2019-02-24,24 Feb 2019 - 3 Mar 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-03-10,2019-03-03,3 Mar 2019 - 10 Mar 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-03-17,2019-03-10,10 Mar 2019 - 17 Mar 2019,North Kivu | Kayna,Confirmed,1,0,0,7
2019-03-24,2019-03-17,17 Mar 2019 - 24 Mar 2019,North Kivu | Kayna,Confirmed,2,0,0,7
2019-03-31,2019-03-24,24 Mar 2019 - 31 Mar 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-04-07,2019-03-31,31 Mar 2019 - 7 Apr 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-04-14,2019-04-07,7 Apr 2019 - 14 Apr 2019,North Kivu | Kayna,Confirmed,-1,1,0,7
2019-04-22,2019-04-14,14 Apr 2019 - 22 Apr 2019,North Kivu | Kayna,Confirmed,0,0,0,8
2019-04-28,2019-04-22,22 Apr 2019 - 28 Apr 2019,North Kivu | Kayna,Confirmed,0,0,0,6
2019-05-05,2019-04-28,28 Apr 2019 - 5 May 2019,North Kivu | Kayna,Confirmed,1,0,0,7
2019-05-12,2019-05-05,5 May 2019 - 12 May 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-05-19,2019-05-12,12 May 2019 - 19 May 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-05-26,2019-05-19,19 May 2019 - 26 May 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-06-02,2019-05-26,26 May 2019 - 2 Jun 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-06-12,2019-06-02,2 Jun 2019 - 12 Jun 2019,North Kivu | Kayna,Confirmed,0,0,0,10
2019-06-16,2019-06-12,12 Jun 2019 - 16 Jun 2019,North Kivu | Kayna,Confirmed,0,0,0,4
2019-06-23,2019-06-16,16 Jun 2019 - 23 Jun 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-06-30,2019-06-23,23 Jun 2019 - 30 Jun 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-07-07,2019-06-30,30 Jun 2019 - 7 Jul 2019,North Kivu | Kayna,Confirmed,1,0,0,7
2019-07-14,2019-07-07,7 Jul 2019 - 14 Jul 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-07-21,2019-07-14,14 Jul 2019 - 21 Jul 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-07-28,2019-07-21,21 Jul 2019 - 28 Jul 2019,North Kivu | Kayna,Confirmed,1,0,0,7
2019-08-04,2019-07-28,28 Jul 2019 - 4 Aug 2019,North Kivu | Kayna,Confirmed,-1,1,0,7
2019-08-11,2019-08-04,4 Aug 2019 - 11 Aug 2019,North Kivu | Kayna,Confirmed,1,0,0,7
2019-08-18,2019-08-11,11 Aug 2019 - 18 Aug 2019,North Kivu | Kayna,Confirmed,4,0,0,7
2019-08-25,2019-08-18,18 Aug 2019 - 25 Aug 2019,North Kivu | Kayna,Confirmed,8,0,0,7
2019-09-01,2019-08-25,25 Aug 2019 - 1 Sep 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-09-08,2019-09-01,1 Sep 2019 - 8 Sep 2019,North Kivu | Kayna,Confirmed,3,0,0,7
2019-09-15,2019-09-08,8 Sep 2019 - 15 Sep 2019,North Kivu | Kayna,Confirmed,2,0,0,7
2019-09-22,2019-09-15,15 Sep 2019 - 22 Sep 2019,North Kivu | Kayna,Confirmed,1,0,0,7
2019-09-29,2019-09-22,22 Sep 2019 - 29 Sep 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-10-06,2019-09-29,29 Sep 2019 - 6 Oct 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-10-13,2019-10-06,6 Oct 2019 - 13 Oct 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-10-20,2019-10-13,13 Oct 2019 - 20 Oct 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-10-27,2019-10-20,20 Oct 2019 - 27 Oct 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-11-03,2019-10-27,27 Oct 2019 - 3 Nov 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-11-10,2019-11-03,3 Nov 2019 - 10 Nov 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-11-17,2019-11-10,10 Nov 2019 - 17 Nov 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-11-24,2019-11-17,17 Nov 2019 - 24 Nov 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-12-01,2019-11-24,24 Nov 2019 - 1 Dec 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-12-08,2019-12-01,1 Dec 2019 - 8 Dec 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-12-15,2019-12-08,8 Dec 2019 - 15 Dec 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2019-12-22,2019-12-15,15 Dec 2019 - 22 Dec 2019,North Kivu | Kayna,Confirmed,0,0,0,7
2020-01-05,2019-12-22,22 Dec 2019 - 5 Jan 2020,North Kivu | Kayna,Confirmed,0,0,0,14
2020-01-12,2020-01-05,5 Jan 2020 - 12 Jan 2020,North Kivu | Kayna,Confirmed,0,0,0,7
2020-01-19,2020-01-12,12 Jan 2020 - 19 Jan 2020,North Kivu | Kayna,Confirmed,0,0,0,7
2020-01-26,2020-01-19,19 Jan 2020 - 26 Jan 2020,North Kivu | Kayna,Confirmed,0,0,0,7
2018-08-05,,unknown - 5 August 2018,North Kivu | Kayna,Probable,0,0,1,
2018-08-12,2018-08-05,5 Aug 2018 - 12 Aug 2018,North Kivu | Kayna,Probable,0,0,0,7
2018-08-20,2018-08-12,12 Aug 2018 - 20 Aug 2018,North Kivu | Kayna,Probable,0,0,0,8
2018-08-26,2018-08-20,20 Aug 2018 - 26 Aug 2018,North Kivu | Kayna,Probable,0,0,0,6
2018-09-02,2018-08-26,26 Aug 2018 - 2 Sep 2018,North Kivu | Kayna,Probable,0,0,0,7
2018-09-09,2018-09-02,2 Sep 2018 - 9 Sep 2018,North Kivu | Kayna,Probable,0,0,0,7
2018-09-16,2018-09-09,9 Sep 2018 - 16 Sep 2018,North Kivu | Kayna,Probable,0,0,0,7
2018-09-23,2018-09-16,16 Sep 2018 - 23 Sep 2018,North Kivu | Kayna,Probable,0,0,0,7
2018-10-02,2018-09-23,23 Sep 2018 - 2 Oct 2018,North Kivu | Kayna,Probable,0,0,0,9
2018-10-07,2018-10-02,2 Oct 2018 - 7 Oct 2018,North Kivu | Kayna,Probable,0,0,0,5
2018-10-15,2018-10-07,7 Oct 2018 - 15 Oct 2018,North Kivu | Kayna,Probable,0,0,0,8
2018-10-21,2018-10-15,15 Oct 2018 - 21 Oct 2018,North Kivu | Kayna,Probable,0,0,0,6
2018-10-28,2018-10-21,21 Oct 2018 - 28 Oct 2018,North Kivu | Kayna,Probable,0,0,0,7
2018-11-04,2018-10-28,28 Oct 2018 - 4 Nov 2018,North Kivu | Kayna,Probable,0,0,0,7
2018-11-11,2018-11-04,4 Nov 2018 - 11 Nov 2018,North Kivu | Kayna,Probable,0,0,0,7
2018-11-19,2018-11-11,11 Nov 2018 - 19 Nov 2018,North Kivu | Kayna,Probable,0,0,0,8
2018-11-26,2018-11-19,19 Nov 2018 - 26 Nov 2018,North Kivu | Kayna,Probable,0,0,0,7
2018-12-03,2018-11-26,26 Nov 2018 - 3 Dec 2018,North Kivu | Kayna,Probable,0,0,0,7
2018-12-10,2018-12-03,3 Dec 2018 - 10 Dec 2018,North Kivu | Kayna,Probable,0,0,0,7
2018-12-16,2018-12-10,10 Dec 2018 - 16 Dec 2018,North Kivu | Kayna,Probable,0,0,0,6
2018-12-25,2018-12-16,16 Dec 2018 - 25 Dec 2018,North Kivu | Kayna,Probable,0,0,0,9
2019-01-01,2018-12-25,25 Dec 2018 - 1 Jan 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-01-06,2019-01-01,1 Jan 2019 - 6 Jan 2019,North Kivu | Kayna,Probable,0,0,0,5
2019-01-14,2019-01-06,6 Jan 2019 - 14 Jan 2019,North Kivu | Kayna,Probable,0,0,0,8
2019-01-21,2019-01-14,14 Jan 2019 - 21 Jan 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-01-28,2019-01-21,21 Jan 2019 - 28 Jan 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-02-03,2019-01-28,28 Jan 2019 - 3 Feb 2019,North Kivu | Kayna,Probable,0,0,0,6
2019-02-10,2019-02-03,3 Feb 2019 - 10 Feb 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-02-17,2019-02-10,10 Feb 2019 - 17 Feb 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-02-24,2019-02-17,17 Feb 2019 - 24 Feb 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-03-03,2019-02-24,24 Feb 2019 - 3 Mar 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-03-10,2019-03-03,3 Mar 2019 - 10 Mar 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-03-17,2019-03-10,10 Mar 2019 - 17 Mar 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-03-24,2019-03-17,17 Mar 2019 - 24 Mar 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-03-31,2019-03-24,24 Mar 2019 - 31 Mar 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-04-07,2019-03-31,31 Mar 2019 - 7 Apr 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-04-14,2019-04-07,7 Apr 2019 - 14 Apr 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-04-22,2019-04-14,14 Apr 2019 - 22 Apr 2019,North Kivu | Kayna,Probable,0,0,0,8
2019-04-28,2019-04-22,22 Apr 2019 - 28 Apr 2019,North Kivu | Kayna,Probable,0,0,0,6
2019-05-05,2019-04-28,28 Apr 2019 - 5 May 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-05-12,2019-05-05,5 May 2019 - 12 May 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-05-19,2019-05-12,12 May 2019 - 19 May 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-05-26,2019-05-19,19 May 2019 - 26 May 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-06-02,2019-05-26,26 May 2019 - 2 Jun 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-06-12,2019-06-02,2 Jun 2019 - 12 Jun 2019,North Kivu | Kayna,Probable,0,0,0,10
2019-06-16,2019-06-12,12 Jun 2019 - 16 Jun 2019,North Kivu | Kayna,Probable,0,0,0,4
2019-06-23,2019-06-16,16 Jun 2019 - 23 Jun 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-06-30,2019-06-23,23 Jun 2019 - 30 Jun 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-07-07,2019-06-30,30 Jun 2019 - 7 Jul 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-07-14,2019-07-07,7 Jul 2019 - 14 Jul 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-07-21,2019-07-14,14 Jul 2019 - 21 Jul 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-07-28,2019-07-21,21 Jul 2019 - 28 Jul 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-08-04,2019-07-28,28 Jul 2019 - 4 Aug 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-08-11,2019-08-04,4 Aug 2019 - 11 Aug 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-08-18,2019-08-11,11 Aug 2019 - 18 Aug 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-08-25,2019-08-18,18 Aug 2019 - 25 Aug 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-09-01,2019-08-25,25 Aug 2019 - 1 Sep 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-09-08,2019-09-01,1 Sep 2019 - 8 Sep 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-09-15,2019-09-08,8 Sep 2019 - 15 Sep 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-09-22,2019-09-15,15 Sep 2019 - 22 Sep 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-09-29,2019-09-22,22 Sep 2019 - 29 Sep 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-10-06,2019-09-29,29 Sep 2019 - 6 Oct 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-10-13,2019-10-06,6 Oct 2019 - 13 Oct 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-10-20,2019-10-13,13 Oct 2019 - 20 Oct 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-10-27,2019-10-20,20 Oct 2019 - 27 Oct 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-11-03,2019-10-27,27 Oct 2019 - 3 Nov 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-11-10,2019-11-03,3 Nov 2019 - 10 Nov 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-11-17,2019-11-10,10 Nov 2019 - 17 Nov 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-11-24,2019-11-17,17 Nov 2019 - 24 Nov 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-12-01,2019-11-24,24 Nov 2019 - 1 Dec 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-12-08,2019-12-01,1 Dec 2019 - 8 Dec 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-12-15,2019-12-08,8 Dec 2019 - 15 Dec 2019,North Kivu | Kayna,Probable,0,0,0,7
2019-12-22,2019-12-15,15 Dec 2019 - 22 Dec 2019,North Kivu | Kayna,Probable,0,0,0,7
2020-01-05,2019-12-22,22 Dec 2019 - 5 Jan 2020,North Kivu | Kayna,Probable,0,0,0,14
2020-01-12,2020-01-05,5 Jan 2020 - 12 Jan 2020,North Kivu | Kayna,Probable,0,0,0,7
2020-01-19,2020-01-12,12 Jan 2020 - 19 Jan 2020,North Kivu | Kayna,Probable,0,0,0,7
2020-01-26,2020-01-19,19 Jan 2020 - 26 Jan 2020,North Kivu | Kayna,Probable,0,0,0,7
2018-08-05,,unknown - 5 August 2018,North Kivu | Kyondo,Confirmed,0,0,1,
2018-08-12,2018-08-05,5 Aug 2018 - 12 Aug 2018,North Kivu | Kyondo,Confirmed,0,0,0,7
2018-08-20,2018-08-12,12 Aug 2018 - 20 Aug 2018,North Kivu | Kyondo,Confirmed,0,0,0,8
2018-08-26,2018-08-20,20 Aug 2018 - 26 Aug 2018,North Kivu | Kyondo,Confirmed,0,0,0,6
2018-09-02,2018-08-26,26 Aug 2018 - 2 Sep 2018,North Kivu | Kyondo,Confirmed,0,0,0,7
2018-09-09,2018-09-02,2 Sep 2018 - 9 Sep 2018,North Kivu | Kyondo,Confirmed,0,0,0,7
2018-09-16,2018-09-09,9 Sep 2018 - 16 Sep 2018,North Kivu | Kyondo,Confirmed,0,0,0,7
2018-09-23,2018-09-16,16 Sep 2018 - 23 Sep 2018,North Kivu | Kyondo,Confirmed,0,0,0,7
2018-10-02,2018-09-23,23 Sep 2018 - 2 Oct 2018,North Kivu | Kyondo,Confirmed,0,0,0,9
2018-10-07,2018-10-02,2 Oct 2018 - 7 Oct 2018,North Kivu | Kyondo,Confirmed,0,0,0,5
2018-10-15,2018-10-07,7 Oct 2018 - 15 Oct 2018,North Kivu | Kyondo,Confirmed,0,0,0,8
2018-10-21,2018-10-15,15 Oct 2018 - 21 Oct 2018,North Kivu | Kyondo,Confirmed,0,0,0,6
2018-10-28,2018-10-21,21 Oct 2018 - 28 Oct 2018,North Kivu | Kyondo,Confirmed,0,0,0,7
2018-11-04,2018-10-28,28 Oct 2018 - 4 Nov 2018,North Kivu | Kyondo,Confirmed,0,0,0,7
2018-11-11,2018-11-04,4 Nov 2018 - 11 Nov 2018,North Kivu | Kyondo,Confirmed,2,0,0,7
2018-11-19,2018-11-11,11 Nov 2018 - 19 Nov 2018,North Kivu | Kyondo,Confirmed,0,0,0,8
2018-11-26,2018-11-19,19 Nov 2018 - 26 Nov 2018,North Kivu | Kyondo,Confirmed,1,0,0,7
2018-12-03,2018-11-26,26 Nov 2018 - 3 Dec 2018,North Kivu | Kyondo,Confirmed,0,0,0,7
2018-12-10,2018-12-03,3 Dec 2018 - 10 Dec 2018,North Kivu | Kyondo,Confirmed,1,0,0,7
2018-12-16,2018-12-10,10 Dec 2018 - 16 Dec 2018,North Kivu | Kyondo,Confirmed,2,0,0,6
2018-12-25,2018-12-16,16 Dec 2018 - 25 Dec 2018,North Kivu | Kyondo,Confirmed,0,0,0,9
2019-01-01,2018-12-25,25 Dec 2018 - 1 Jan 2019,North Kivu | Kyondo,Confirmed,0,0,0,7
2019-01-06,2019-01-01,1 Jan 2019 - 6 Jan 2019,North Kivu | Kyondo,Confirmed,2,0,0,5
